Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link	ADHD_gene	parkinsons_gene	stuttering_gene	tic_gene
C17orf114	Chromosome 17 Open Reading Frame 114	Protein Coding	A0A1B0GUV1	14	GC17M096064	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C17orf114	True	False	False	False
C17orf67	Chromosome 17 Open Reading Frame 67	Protein Coding	Q0P5P2	37	GC17M056791	0.433797001838684	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C17orf67	True	False	False	False
C18orf21	Chromosome 18 Open Reading Frame 21	Protein Coding	Q32NC0	40	GC18P036047	1.6523232460022	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C18orf21	True	False	False	False
C18orf63	Chromosome 18 Open Reading Frame 63	Protein Coding	Q68DL7	37	GC18P074315	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C18orf63	True	False	False	False
C19orf12	Chromosome 19 Open Reading Frame 12	Protein Coding	Q9NSK7	47	GC19M108580	17.588228225708	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C19orf12	True	True	False	True
C19orf47	Chromosome 19 Open Reading Frame 47	Protein Coding	Q8N9M1	41	GC19M108737	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C19orf47	True	False	False	False
C1QA	Complement C1q A Chain	Protein Coding	P02745	60	GC01P076178	4.25548839569092	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QA	False	True	False	False
C1QB	Complement C1q B Chain	Protein Coding	P02746	57	GC01P022652	0.82681131362915	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QB	False	True	False	False
C1QBP	Complement C1q Binding Protein	Protein Coding	Q07021	58	GC17M005432	1.52092230319977	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP	False	True	False	False
C1RL	Complement C1r Subcomponent Like	Protein Coding	Q9NZP8	49	GC12M035691	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1RL	False	True	False	False
C1orf105	Chromosome 1 Open Reading Frame 105	Protein Coding	O95561	40	GC01P177378	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf105	False	True	False	False
C1orf115	Chromosome 1 Open Reading Frame 115	Protein Coding	Q9H7X2	33	GC01P220689	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf115	False	True	False	False
C1orf210	Chromosome 1 Open Reading Frame 210	Protein Coding	Q8IVY1	38	GC01M043281	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf210	True	False	False	False
C1orf53	Chromosome 1 Open Reading Frame 53	Protein Coding	Q5VUE5	34	GC01P197903	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf53	True	False	False	False
C1orf94	Chromosome 1 Open Reading Frame 94	Protein Coding	Q6P1W5	36	GC01P034166	0.681229293346405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1orf94	False	False	True	False
C20orf203	Chromosome 20 Open Reading Frame 203	Protein Coding	Q8NBC4	31	GC20M032631	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C20orf203	True	False	False	False
C20orf96	Chromosome 20 Open Reading Frame 96	Protein Coding	Q9NUD7	40	GC20M000246	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C20orf96	True	False	False	False
C22orf15	Chromosome 22 Open Reading Frame 15	Protein Coding	Q8WYQ4	35	GC22P023762	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C22orf15	True	False	False	True
C22orf31	Chromosome 22 Open Reading Frame 31	Protein Coding	O95567	32	GC22M029058	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C22orf31	False	True	False	False
C2CD3	C2 Domain Containing 3 Centriole Elongation Regulator	Protein Coding	Q4AC94	51	GC11M074012	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD3	True	False	False	False
C2CD5-AS1	C2CD5 Antisense RNA 1	RNA Gene		13	GC12P075917	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD5-AS1	True	False	False	False
C2orf49	Chromosome 2 Open Reading Frame 49	Protein Coding	Q9BVC5	39	GC02P105337	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf49	True	False	False	False
C2orf74	Chromosome 2 Open Reading Frame 74	Protein Coding	A8MZ97	36	GC02P061146	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf74	True	False	False	False
C2orf88	Chromosome 2 Open Reading Frame 88	Protein Coding	Q9BSF0	37	GC02P189879	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2orf88	False	True	False	False
C3	Complement C3	Protein Coding	P01024	62	GC19M006677	4.69409704208374	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3	False	True	False	False
C3orf49	Chromosome 3 Open Reading Frame 49	Protein Coding	Q96BT1	34	GC03P063779	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3orf49	True	False	False	False
C3orf62	Chromosome 3 Open Reading Frame 62	Protein Coding	Q6ZUJ4	34	GC03M049268	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3orf62	True	False	False	False
C4A	Complement C4A (Chido/Rodgers Blood Group)	Protein Coding	P0C0L4	57	GC06P181914	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A	True	True	False	True
C4B	Complement C4B (Chido/Rodgers Blood Group)	Protein Coding	P0C0L5	57	GC06P032014	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4B	False	True	False	True
C4BPA	Complement Component 4 Binding Protein Alpha	Protein Coding	P04003	55	GC01P207105	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4BPA	True	False	False	False
C4BPB	Complement Component 4 Binding Protein Beta	Protein Coding	P20851	54	GC01P207088	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4BPB	True	False	False	False
C4orf50	Chromosome 4 Open Reading Frame 50	Protein Coding	Q6ZRC1	36	GC04M005897	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4orf50	True	False	False	False
C4orf54	Chromosome 4 Open Reading Frame 54	Protein Coding	D6RIA3	31	GC04M099637	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4orf54	True	False	False	False
C5orf15	Chromosome 5 Open Reading Frame 15	Protein Coding	Q8NC54	44	GC05M133955	0.613481640815735	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5orf15	True	False	False	False
C7orf33	Chromosome 7 Open Reading Frame 33	Protein Coding	Q8WU49	34	GC07P165905	1.10575127601624	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C7orf33	False	True	False	False
C8orf82	Chromosome 8 Open Reading Frame 82	Protein Coding	Q6P1X6	32	GC08M144525	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8orf82	True	False	False	False
C8orf90	Chromosome 8 Open Reading Frame 90	Protein Coding	A0A2R8Y2Y2	15	GC08P141830	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C8orf90	True	False	False	False
C9orf152	Chromosome 9 Open Reading Frame 152	Protein Coding	Q5JTZ5	38	GC09M110190	0.953969299793243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf152	True	False	False	False
C9orf72	C9orf72-SMCR8 Complex Subunit	Protein Coding	Q96LT7	54	GC09M030157	7.12689590454102	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf72	True	True	False	True
CA1	Carbonic Anhydrase 1	Protein Coding	P00915	59	GC08M085327	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA1	False	True	False	False
CA10	Carbonic Anhydrase 10	Protein Coding	Q9NS85	48	GC17M051630	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA10	True	True	False	False
CA12	Carbonic Anhydrase 12	Protein Coding	O43570	60	GC15M063321	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA12	False	True	False	False
CA13	Carbonic Anhydrase 13	Protein Coding	Q8N1Q1	50	GC08P085318	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA13	False	True	False	False
CA14	Carbonic Anhydrase 14	Protein Coding	Q9ULX7	55	GC01P176478	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA14	False	True	False	False
CA2	Carbonic Anhydrase 2	Protein Coding	P00918	64	GC08P085463	4.38419532775879	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA2	False	True	False	False
CA3	Carbonic Anhydrase 3	Protein Coding	P07451	54	GC08P085373	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA3	False	True	False	False
CA4	Carbonic Anhydrase 4	Protein Coding	P22748	58	GC17P060149	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA4	False	True	False	False
CA5A	Carbonic Anhydrase 5A	Protein Coding	P35218	56	GC16M087882	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA5A	False	True	False	False
CA5B	Carbonic Anhydrase 5B	Protein Coding	Q9Y2D0	52	GC0XP015688	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA5B	False	True	False	False
CA6	Carbonic Anhydrase 6	Protein Coding	P23280	54	GC01P008945	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA6	False	True	False	False
CA7	Carbonic Anhydrase 7	Protein Coding	P43166	50	GC16P066844	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA7	False	True	False	False
CA8	Carbonic Anhydrase 8	Protein Coding	P35219	58	GC08M060187	14.2557973861694	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA8	True	True	False	False
CA9	Carbonic Anhydrase 9	Protein Coding	Q16790	59	GC09P035673	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA9	False	True	False	True
CABIN1	Calcineurin Binding Protein 1	Protein Coding	Q9Y6J0	54	GC22P024011	6.88888931274414	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABIN1	True	False	False	False
CABP1	Calcium Binding Protein 1	Protein Coding	Q9NZU7	43	GC12P138875	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABP1	True	False	False	False
CABP1-DT	CABP1 Divergent Transcript	RNA Gene		11	GC12M120632	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABP1-DT	True	False	False	False
CABP4	Calcium Binding Protein 4	Protein Coding	P57796	47	GC11P107978	4.99704551696777	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABP4	True	False	False	True
CACNA1A	Calcium Voltage-Gated Channel Subunit Alpha1 A	Protein Coding	O00555	61	GC19M013206	17.1396961212158	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1A	True	True	False	True
CACNA1B	Calcium Voltage-Gated Channel Subunit Alpha1 B	Protein Coding	Q00975	62	GC09P137877	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1B	True	True	False	True
CACNA1C	Calcium Voltage-Gated Channel Subunit Alpha1 C	Protein Coding	Q13936	62	GC12P001970	4.34624338150024	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C	True	True	False	True
CACNA1C-AS1	CACNA1C Antisense RNA 1	RNA Gene		20	GC12M002676	5.23130416870117	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C-AS1	True	False	False	False
CACNA1C-AS4	CACNA1C Antisense RNA 4	RNA Gene		16	GC12M002213	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C-AS4	True	False	False	False
CACNA1C-IT3	CACNA1C Intronic Transcript 3	RNA Gene		15	GC12P002269	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1C-IT3	True	False	False	False
CACNA1D	Calcium Voltage-Gated Channel Subunit Alpha1 D	Protein Coding	Q01668	60	GC03P053328	3.30352258682251	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1D	True	True	False	False
CACNA1E	Calcium Voltage-Gated Channel Subunit Alpha1 E	Protein Coding	Q15878	60	GC01P181317	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1E	True	True	False	False
CACNA1F	Calcium Voltage-Gated Channel Subunit Alpha1 F	Protein Coding	O60840	56	GC0XM049205	2.25114035606384	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1F	True	False	False	False
CACNA1G	Calcium Voltage-Gated Channel Subunit Alpha1 G	Protein Coding	O43497	62	GC17P155147	15.6799306869507	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G	True	True	False	True
CACNA1H	Calcium Voltage-Gated Channel Subunit Alpha1 H	Protein Coding	O95180	62	GC16P001153	1.5999504327774	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1H	True	True	False	True
CACNA1I	Calcium Voltage-Gated Channel Subunit Alpha1 I	Protein Coding	Q9P0X4	57	GC22P039570	1.5999504327774	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1I	True	True	False	True
CACNA1S	Calcium Voltage-Gated Channel Subunit Alpha1 S	Protein Coding	Q13698	62	GC01M201008	2.30067038536072	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1S	True	False	False	False
CACNA2D1	Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 1	Protein Coding	P54289	59	GC07M081946	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D1	True	True	False	True
CACNA2D2	Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 2	Protein Coding	Q9NY47	54	GC03M054837	3.27969026565552	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D2	True	False	False	False
CACNA2D3	Calcium Voltage-Gated Channel Auxiliary Subunit Alpha2delta 3	Protein Coding	Q8IZS8	53	GC03P065158	2.06116414070129	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA2D3	True	False	False	False
CACNB2	Calcium Voltage-Gated Channel Auxiliary Subunit Beta 2	Protein Coding	Q08289	59	GC10P018141	11.8409051895142	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB2	True	False	False	True
CACNB3	Calcium Voltage-Gated Channel Auxiliary Subunit Beta 3	Protein Coding	P54284	52	GC12P048813	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB3	True	False	False	False
CACNB4	Calcium Voltage-Gated Channel Auxiliary Subunit Beta 4	Protein Coding	O00305	58	GC02M151832	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNB4	True	True	False	True
CACNG2	Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 2	Protein Coding	Q9Y698	57	GC22M086112	1.90793859958649	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG2	True	False	False	True
CACNG3	Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 3	Protein Coding	O60359	53	GC16P120743	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG3	True	False	False	False
CACNG4	Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 4	Protein Coding	Q9UBN1	52	GC17P066964	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG4	False	True	False	False
CACNG5	Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 5	Protein Coding	Q9UF02	52	GC17P066835	2.25114035606384	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG5	True	False	False	True
CACNG8	Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 8	Protein Coding	Q8WXS5	48	GC19P153087	4.14004373550415	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNG8	True	False	False	False
CACUL1	CDK2 Associated Cullin Domain 1	Protein Coding	Q86Y37	41	GC10M118674	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACUL1	False	True	False	False
CACYBP	Calcyclin Binding Protein	Protein Coding	Q9HB71	48	GC01P177461	1.52092230319977	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACYBP	False	True	False	False
CACYBPP2	Calcyclin Binding Protein Pseudogene 2	Pseudogene		6	GC02M183607	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACYBPP2	True	False	False	False
CAD	Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase	Protein Coding	P27708	61	GC02P027217	1.47381222248077	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAD	True	True	False	True
CADM2	Cell Adhesion Molecule 2	Protein Coding	Q8N3J6	50	GC03P084982	11.4687089920044	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CADM2	True	False	False	True
CADPS2	Calcium Dependent Secretion Activator 2	Protein Coding	Q86UW7	50	GC07M122318	1.13133585453033	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CADPS2	True	True	False	False
CAHM	Colon Adenocarcinoma Hypermethylated	RNA Gene		24	GC06M163371	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAHM	True	False	False	False
CALB1	Calbindin 1	Protein Coding	P05937	57	GC08M090058	6.6172194480896	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB1	True	True	True	True
CALB2	Calbindin 2	Protein Coding	P22676	52	GC16P071358	4.63565397262573	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALB2	True	True	True	True
CALCA	Calcitonin Related Polypeptide Alpha	Protein Coding	P06881	57	GC11M014966	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA	True	True	False	False
CALCOCO2	Calcium Binding And Coiled-Coil Domain 2	Protein Coding	Q13137	50	GC17P155091	4.06691932678223	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCOCO2	False	True	False	False
CALHM4	Calcium Homeostasis Modulator Family Member 4	Protein Coding	Q5JW98	37	GC06P182898	0.953969299793243	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALHM4	True	False	False	False
CALM1	Calmodulin 1	Protein Coding	P0DP23	58	GC14P090396	1.3240978717804	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1	False	True	False	False
CALM1P1	Calmodulin 1 Pseudogene 1	Pseudogene		9	GC0XP095499	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM1P1	False	True	False	False
CALM2	Calmodulin 2	Protein Coding	P0DP24	56	GC02M047160	0.304524540901184	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM2	True	True	False	False
CALM3	Calmodulin 3	Protein Coding	P0DP25	55	GC19P046601	3.2149076461792	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALM3	True	True	False	False
CALML3	Calmodulin Like 3	Protein Coding	P27482	52	GC10P005524	3.08620047569275	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML3	True	True	False	False
CALML4	Calmodulin Like 4	Protein Coding	Q96GE6	46	GC15M068190	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML4	True	True	False	False
CALML5	Calmodulin Like 5	Protein Coding	Q9NZT1	49	GC10M005498	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML5	True	True	False	False
CALML6	Calmodulin Like 6	Protein Coding	Q8TD86	44	GC01P074960	2.9103832244873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML6	True	True	False	False
CALN1	Calneuron 1	Protein Coding	Q9BXU9	45	GC07M080897	2.97648334503174	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALN1	True	False	False	False
CALR	Calreticulin	Protein Coding	P27797	64	GC19P012938	4.04171895980835	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR	True	True	False	False
CALR3	Calreticulin 3	Protein Coding	Q96L12	48	GC19M108337	0.521549761295319	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR3	False	False	False	True
CALU	Calumenin	Protein Coding	O43852	55	GC07P128739	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALU	True	True	False	False
CALY	Calcyon Neuron Specific Vesicular Protein	Protein Coding	Q9NYX4	50	GC10M133325	8.74880790710449	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALY	True	False	False	True
CAMK1	Calcium/Calmodulin Dependent Protein Kinase I	Protein Coding	Q14012	54	GC03M009774	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1	False	True	False	False
CAMK1D	Calcium/Calmodulin Dependent Protein Kinase ID	Protein Coding	Q8IU85	52	GC10P012349	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1D	True	False	False	False
CAMK2A	Calcium/Calmodulin Dependent Protein Kinase II Alpha	Protein Coding	Q9UQM7	65	GC05M150219	3.2149076461792	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2A	True	True	False	True
CAMK2B	Calcium/Calmodulin Dependent Protein Kinase II Beta	Protein Coding	Q13554	62	GC07M045687	2.01212787628174	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2B	True	False	False	True
CAMK2D	Calcium/Calmodulin Dependent Protein Kinase II Delta	Protein Coding	Q13557	62	GC04M113418	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2D	False	True	False	False
CAMK2G	Calcium/Calmodulin Dependent Protein Kinase II Gamma	Protein Coding	Q13555	62	GC10M073812	3.26201772689819	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G	True	True	False	True
CAMK4	Calcium/Calmodulin Dependent Protein Kinase IV	Protein Coding	Q16566	60	GC05P111223	14.0799808502197	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK4	True	True	False	False
CAMKK1	Calcium/Calmodulin Dependent Protein Kinase Kinase 1	Protein Coding	Q8N5S9	53	GC17M003860	0.509354114532471	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK1	False	False	True	False
CAMKK2	Calcium/Calmodulin Dependent Protein Kinase Kinase 2	Protein Coding	Q96RR4	60	GC12M124682	3.31723546981812	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK2	False	True	False	False
CAMKMT	Calmodulin-Lysine N-Methyltransferase	Protein Coding	Q7Z624	49	GC02P044361	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKMT	True	False	False	False
CAMKV	CaM Kinase Like Vesicle Associated	Protein Coding	Q8NCB2	44	GC03M054789	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKV	True	False	False	False
CAMLG	Calcium Modulating Ligand	Protein Coding	P49069	52	GC05P134738	0.681229293346405	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMLG	False	False	True	False
CAMP	Cathelicidin Antimicrobial Peptide	Protein Coding	P49913	53	GC03P064957	0.90202397108078	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMP	True	False	False	False
CAMTA1	Calmodulin Binding Transcription Activator 1	Protein Coding	Q9Y6Y1	52	GC01P075122	9.03922653198242	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMTA1	True	False	False	True
CAMTA1-IT1	CAMTA1 Intronic Transcript 1	RNA Gene		17	GC01P075132	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMTA1-IT1	True	False	False	False
CAMTA2	Calmodulin Binding Transcription Activator 2	Protein Coding	O94983	44	GC17M096071	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMTA2	True	False	False	False
CAND1	Cullin Associated And Neddylation Dissociated 1	Protein Coding	Q86VP6	51	GC12P075765	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAND1	False	True	False	False
CANT1	Calcium Activated Nucleotidase 1	Protein Coding	Q8WVQ1	57	GC17M098152	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1	True	False	False	False
CANX	Calnexin	Protein Coding	P27824	58	GC05P179678	4.32831430435181	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANX	True	True	False	False
CAP1	Cyclase Associated Actin Cytoskeleton Regulatory Protein 1	Protein Coding	Q01518	51	GC01P077153	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAP1	False	True	False	False
CAP2	Cyclase Associated Actin Cytoskeleton Regulatory Protein 2	Protein Coding	P40123	51	GC06P017393	1.07545459270477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAP2	False	True	False	False
CAPN1	Calpain 1	Protein Coding	P07384	62	GC11P107791	4.54483985900879	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN1	True	True	False	False
CAPN10	Calpain 10	Protein Coding	Q9HC96	54	GC02P240586	1.34911632537842	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN10	True	False	False	False
CAPN2	Calpain 2	Protein Coding	P17655	60	GC01P223701	4.83974885940552	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN2	True	True	False	False
CAPN3	Calpain 3	Protein Coding	P20807	61	GC15P042359	1.39864635467529	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN3	True	False	False	False
CAPN5	Calpain 5	Protein Coding	O15484	56	GC11P077066	1.00262856483459	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN5	False	True	False	False
CAPNS1	Calpain Small Subunit 1	Protein Coding	P04632	55	GC19P152412	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPNS1	False	True	False	False
CAPRIN1	Cell Cycle Associated Protein 1	Protein Coding	Q14444	51	GC11P034051	52.154914855957	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPRIN1	True	False	False	True
CAPZA1	Capping Actin Protein Of Muscle Z-Line Subunit Alpha 1	Protein Coding	P52907	51	GC01P112619	1.13133585453033	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZA1	False	True	False	False
CAPZA2	Capping Actin Protein Of Muscle Z-Line Subunit Alpha 2	Protein Coding	P47755	52	GC07P116811	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZA2	True	True	False	False
CAPZA3	Capping Actin Protein Of Muscle Z-Line Subunit Alpha 3	Protein Coding	Q96KX2	44	GC12P074381	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZA3	True	False	False	False
CAPZB	Capping Actin Protein Of Muscle Z-Line Subunit Beta	Protein Coding	P47756	51	GC01M022704	0.2486432492733	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZB	False	True	False	False
CAPZBP1	CAPZB Pseudogene 1	Pseudogene		4	GC02P103625	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPZBP1	True	False	False	False
CARD16	Caspase Recruitment Domain Family Member 16	Protein Coding	Q5EG05	45	GC11M140427	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD16	False	True	False	False
CARM1	Coactivator Associated Arginine Methyltransferase 1	Protein Coding	Q86X55	60	GC19P010871	0.175817310810089	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARM1	False	True	False	False
CARM1P1	Coactivator Associated Arginine Methyltransferase 1 Pseudogene 1	Pseudogene		10	GC09M002908	1.62736713886261	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARM1P1	True	False	False	False
CARMIL2	Capping Protein Regulator And Myosin 1 Linker 2	Protein Coding	Q6F5E8	47	GC16P067644	2.25114035606384	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARMIL2	True	False	False	False
